"","array","site","buff_dist","red_squirrel","absent_red_squirrel","harvest","seismic","linear","wells","roads","osm_industrial"
"8293","LU22","LU22_63",3250,24,27,0.0800955797003076,0.0203635466791216,0.0187168326575791,0.00684196394171603,0.00500745560147813,0.00394369381509644
"8294","LU22","LU22_63",3500,24,27,0.0776111798941468,0.0209270264175349,0.018577838875832,0.00669265148892573,0.00481925773882291,0.00348169329828939
"8295","LU22","LU22_63",3750,24,27,0.0798133432563912,0.0212552425141855,0.0180951083367703,0.00685306049357077,0.00454630225083709,0.00315411424769653
"8296","LU22","LU22_63",4000,24,27,0.0818820212803305,0.0212911820403674,0.0177083178565414,0.00652211214567007,0.00426992362090423,0.00281423437627134
"8297","LU22","LU22_63",4250,24,27,0.0784276869475275,0.0213576400252419,0.0169228566564407,0.00623858397414106,0.00420155348382081,0.00265616776590742
"8298","LU22","LU22_63",4500,24,27,0.0749221251613783,0.0216527110646714,0.016236483941769,0.0061454228411651,0.00403304363828671,0.00255721011882709
"8299","LU22","LU22_63",4750,24,27,0.068544920530365,0.0221089852321537,0.0152700575196205,0.00606198551776195,0.00379843329917784,0.00235383830313508
"8300","LU22","LU22_63",5000,24,27,0.0626259652957932,0.0222226529138858,0.0149284097363018,0.00605255724604001,0.00377476237563396,0.00255375244335824
"8301","LU22","LU22_65",250,10,40,0,0.00985512907035214,0,0,0.0227011239974275,0
"8302","LU22","LU22_65",500,10,40,0,0.0194176402304631,0,0,0.0124044158671621,0
"8303","LU22","LU22_65",750,10,40,0,0.0214143396173722,0,0.00224000722842195,0.0083958549224899,0.00186807499151593
"8304","LU22","LU22_65",1000,10,40,0,0.0165847337271836,0,0.0047363925058058,0.00632929820390031,0.00105079218272773
"8305","LU22","LU22_65",1250,10,40,0,0.015466481564146,0,0.00521388030852539,0.00507569059264411,0.00196934380168431
"8306","LU22","LU22_65",1500,10,40,0,0.0153811881435042,0,0.00486246516399805,0.00423508470363053,0.00136759986228055
"8307","LU22","LU22_65",1750,10,40,0,0.0145358965135244,2.84694834792888e-05,0.00357242338579475,0.00402303877800927,0.00339842897265562
"8308","LU22","LU22_65",2000,10,40,0,0.0144312926433586,0.000204831240287293,0.00330848394177676,0.00347971786219261,0.00522270709972418
"8309","LU22","LU22_65",2250,10,40,0,0.0146619528794847,0.0006999132839866,0.00309454972119308,0.00338597012128905,0.00506257843723771
"8310","LU22","LU22_65",2500,10,40,0,0.0142422363378151,0.000739526408939811,0.00250658527416634,0.00327445219782299,0.00426606814731225
