buffer,site,water_cai_mn,natural_cai_mn,anthropogenic_cai_mn,water_ed,natural_ed,anthropogenic_ed,water_tca,natural_tca,anthropogenic_tca,landscape_cai_mn,landscape_ed,landscape_tca,natural_cohesion
750,LU22_15,39.05852417302799,31.56677414500577,1.5980922893489364,9.57636519370375,120.2241037954421,114.74788323012764,13.815,81.7325,16.62,NA,NA,NA,99.08057072681376
1000,LU22_15,67.68544571986202,29.32129636543247,0.6077273632540212,11.06485365583398,127.36453864784004,119.46559447865386,20.869999999999997,153.405,25.9375,NA,NA,NA,99.27927050102808
1250,LU22_15,69.48252336409016,23.882259413440774,1.0702336812055382,9.999847872496868,135.71801646019583,127.7465352961162,26.475,241.42,39.3175,NA,NA,NA,99.37901431822814
1500,LU22_15,69.36923802914905,24.29495966557108,0.8707237685527058,7.584622108186598,136.40336655717363,130.2285255099883,27.630000000000003,358.03499999999997,58.85,NA,NA,NA,99.43956155546768
1750,LU22_15,34.68461901457452,27.00334629277921,0.8044808274709623,5.974650485537511,135.61886600822876,131.08476438217036,27.630000000000003,488.0475,86.015,NA,NA,NA,99.40138404335156
2000,LU22_15,34.38202172227368,29.872154969393716,0.3642934830132863,5.739313703504513,134.7786137136257,130.71425878113013,29.9025,638.3100000000001,118.1475,NA,NA,NA,99.3592981642531
2250,LU22_15,35.6927164641658,31.30715278749919,0.4430354451298491,5.3519721672350125,135.60316349867142,132.47856544558462,32.535000000000004,799.4375,156.24,NA,NA,NA,99.30690087969369
2500,LU22_15,33.63977744380448,32.02272391597139,0.2555966924888257,6.024142322268737,134.86453305271505,132.0532666356563,39.0125,1000.5775,186.7075,NA,NA,NA,99.27457445195962
2750,LU22_15,36.28365615603032,31.13022224970317,0.3366919642333424,6.408444859534242,132.54765098978956,129.63548555526023,46.3325,1218.7575,231.8375,NA,NA,NA,99.25552599658008
3000,LU22_15,36.481207850122466,32.27768464871245,0.3069084489688739,5.491846991138878,128.7952900790049,126.24184610820528,46.665,1478.5225,289.3125,NA,NA,NA,99.23873958637434
3250,LU22_15,36.481207850122466,31.20645155459393,0.2716258806333094,4.6802142063312315,128.66977326544264,126.49369939330278,46.665,1741.4475,357.19500000000005,NA,NA,NA,99.2067332280885
3500,LU22_15,34.33525444717409,32.097535485213164,0.24075649848146985,4.08137840282491,128.96247338019887,127.0405269844648,46.665,2038.43,407.275,NA,NA,NA,99.17700440232817
3750,LU22_15,30.05001818321216,30.047109767668573,0.21448267480801653,3.737806339572809,129.5750252126683,127.7276036885116,46.79,2366.01,457.1174999999999,NA,NA,NA,99.15283679327852
4000,LU22_15,27.734475541160233,30.40673468777701,0.1884646223960366,3.9405116901018618,131.92515114818957,129.84507776423416,57.4325,2680.6,502.685,NA,NA,NA,99.13069388170112
4250,LU22_15,33.72305522828361,32.42704369798015,0.2018295212821034,4.398533939408346,130.8924815531861,128.43437371515003,92.5225,3041.41,539.0975,NA,NA,NA,99.13037142602528
4500,LU22_15,30.901192216330205,31.870000456382503,0.19262714540963705,4.319488195624123,131.2880949407798,128.8927423959337,125.67,3405.1875,595.2975,NA,NA,NA,99.11967557724267
4750,LU22_15,30.018006695711353,32.22771349078569,0.14710671838249112,4.333177427296621,131.183827315795,128.77509667172922,154.365,3782.5,662.5825,NA,NA,NA,99.093571061142
5000,LU22_15,30.87664942239012,32.01462123090281,0.1692235717447832,4.480399049458083,130.53281882760135,128.04766706855798,173.54,4203.96,736.53,NA,NA,NA,99.08025587270774
50,LU22_17,NA,9.265667962453778,0,NA,237.68115942028984,237.68115942028984,NA,0.09,0,NA,NA,NA,97.16560439178953
100,LU22_17,NA,14.492268547659249,1.6216216216216213,NA,289.1748675246026,289.1748675246026,NA,0.6075,0.0225,NA,NA,NA,97.35387858178355
250,LU22_17,NA,23.82048554749348,15.18151815181518,NA,218.2089924025408,218.2089924025408,NA,6.235,1.61,NA,NA,NA,97.5511281086733
500,LU22_17,NA,30.13141629733566,34.21514543630892,NA,192.77866968867065,192.77866968867065,NA,29.315,6.8225,NA,NA,NA,97.53720535411156
750,LU22_17,NA,28.452558062823737,7.841031149301826,NA,188.16789069411485,188.16789069411485,NA,74.42,13.14,NA,NA,NA,97.8239757197616
1000,LU22_17,NA,34.25795047896795,2.2360218372855916,NA,178.10701933502702,178.10701933502702,NA,141.385,23.09,NA,NA,NA,98.08045265507177
1250,LU22_17,NA,36.1154680100938,1.4980929095354525,NA,167.0013794222655,167.0013794222655,NA,235.82,38.295,NA,NA,NA,98.2247711698616
1500,LU22_17,NA,39.037776393657296,1.019094538107275,NA,156.35893260585297,156.35893260585297,NA,361.64,49.8325,NA,NA,NA,98.4003688652366
1750,LU22_17,NA,35.137643438535335,0.6419883148019775,NA,155.72557849109106,155.72557849109106,NA,476.9775,80.9875,NA,NA,NA,98.40462884901244
2000,LU22_17,NA,33.39031105743643,0.6033180222542527,NA,147.44325060232353,147.44325060232353,NA,614.0024999999999,139.615,NA,NA,NA,98.42795838062514
2250,LU22_17,NA,32.31695230569816,0.659524099927604,NA,143.8572658837038,143.8572658837038,NA,773.1675,193.04,NA,NA,NA,98.4231336598535
2500,LU22_17,51.4945652173913,30.740785395847315,0.8296237860843936,0.31773104448361716,139.8474128431972,139.52968179871357,1.895,961.4625,251.7975,NA,NA,NA,98.4518315328531
2750,LU22_17,76.21125657379433,29.730600947479367,1.1061181895872283,0.7564288573406693,136.30007532770705,135.66131318150826,17.0275,1154.31,323.75,NA,NA,NA,98.491725645205
3000,LU22_17,85.59211555509204,28.804280273060787,1.0259217535658256,1.056014692378329,130.83810129264674,130.31539167902804,41.035,1376.595,405.1475,NA,NA,NA,98.54944814966407
3250,LU22_17,88.37627321749551,27.951129491524327,0.900845336701668,1.1316728442159023,125.96933347178266,125.29213562617474,62.6875,1625.565,492.1125,NA,NA,NA,98.60090690767836
3500,LU22_17,24.15075710530256,27.870313269403105,0.731769016539939,1.4080759971708705,126.01306850257282,125.2850218349112,85.2125,1896.1125,550.585,NA,NA,NA,98.63848023994092
3750,LU22_17,41.15022156551396,27.417220200947508,0.6772812482182852,1.937896850521898,125.27135078420378,124.29222670453518,117.6775,2199.24,593.72,NA,NA,NA,98.66327465430012
4000,LU22_17,45.0833692115515,27.698856964920264,0.554237079586479,2.1585833253413407,127.51542785814767,126.44011148705222,123.42,2491.17,661.705,NA,NA,NA,98.65289840435791
4250,LU22_17,27.281010572004288,28.585094334098116,0.5740749159663734,2.1420600489953316,129.23057960200646,128.1274142746776,124.9475,2819.375,727.21,NA,NA,NA,98.65092114405222
4500,LU22_17,36.94695999985627,29.406384988910144,0.577115664441694,2.123675010180524,129.7648681793924,128.62292163175837,127.5175,3205.525,773.05,NA,NA,NA,98.69222645422096
4750,LU22_17,32.21923690764363,29.90893721623103,0.5980307144615955,2.241675927678459,128.8843820393823,127.67472295388032,129.99,3616.575,844.615,NA,NA,NA,98.70812000209996
5000,LU22_17,37.30864531787539,29.32921414167874,0.48322466408936554,2.3292812153745284,128.31851791291058,127.03140075948184,138.3425,4013.615,941.095,NA,NA,NA,98.72100364740604
